URL,Image Source,Alt Text,Price
/product/P512469?icid2=nars_explicitlip_cgt_shared_080124_fy243391&amp;icid2=nars_explicitlip_cgt_shared_080124_fy243391,https://www.sephora.com/contentimages/2024-8-1-nars-explicit-lipstick-site-desktop-mobile-content-grid-tile-en-us-can.jpg?imwidth=250,"NEW FROM NARS | Meet the Explicit Lipstick: a luxurious, refillable formula that lasts all day. SHOP NOW >",16.0
/product/anastasia-beverly-hills-matte-satin-velvet-lipstick-P480576?skuId=2650992&amp;icid2=products grid:p480576:product,https://www.sephora.com/productimages/sku/s2650992-main-zoom.jpg?imwidth=175,Anastasia Beverly Hills - Long-Wearing Matte &amp; Satin Velvet Lipstick,23.0
/product/k-i-s-s-i-n-g-lipstick-P433531?skuId=2736056&amp;icid2=products grid:p433531:product,https://www.sephora.com/productimages/sku/s2736056-main-zoom.jpg?imwidth=175,Charlotte Tilbury - K.I.S.S.I.N.G Satin Shine Lipstick,35.0
/product/fenty-beauty-rihanna-gloss-bomb-stix-high-shine-gloss-stick-P511572?skuId=2787497&amp;icid2=products grid:p511572:product,https://www.sephora.com/productimages/sku/s2787497-main-zoom.jpg?imwidth=175,Fenty Beauty by Rihanna - Gloss Bomb Stix High-Shine Gloss Stick,25.0
/product/matte-revolution-lipstick-P433530?skuId=2736098&amp;icid2=products grid:p433530:product,https://www.sephora.com/productimages/sku/s2736098-main-zoom.jpg?imwidth=175,Charlotte Tilbury - Matte Revolution Hydrating Lipstick,35.0
/product/satin-hydrating-lipstick-P501496?skuId=2564474&amp;icid2=products grid:p501496:product,https://www.sephora.com/productimages/sku/s2564474-main-zoom.jpg?pb=2023-03-sephora-value-2023&amp;imwidth=175,SEPHORA COLLECTION - Satin Hydrating Lipstick,16.0
/product/dior-dior-addict-refillable-shine-lipstick-P481969?skuId=2767093&amp;icid2=products grid:p481969:product,https://www.sephora.com/productimages/sku/s2767093-main-zoom.jpg?imwidth=175,DIOR - Dior Addict Shine Lipstick,32.0
/product/love-shine-lip-oil-stick-P377710?skuId=2751592&amp;icid2=products grid:p377710:product,https://www.sephora.com/productimages/sku/s2751592-main-zoom.jpg?pb=allure-2024-bestofbeauty&amp;imwidth=175,Yves Saint Laurent - YSL Loveshine Lip Oil Stick,45.0
/product/kind-words-matte-lipstick-P500637?skuId=2798262&amp;icid2=products grid:p500637:product,https://www.sephora.com/productimages/sku/s2798262-main-zoom.jpg?imwidth=175,Rare Beauty by Selena Gomez - Kind Words Matte Lipstick,20.0
/product/matte-velvet-lipstick-P506548?skuId=2666840&amp;icid2=products grid:p506548:product,https://www.sephora.com/productimages/sku/s2666840-main-zoom.jpg?pb=2023-03-sephora-value-2023&amp;imwidth=175,SEPHORA COLLECTION - Matte Velvet Lipstick,16.0
/product/sc-rouge-lacquer-P511209?skuId=2730158&amp;icid2=products grid:p511209:product,https://www.sephora.com/productimages/sku/s2730158-main-zoom.jpg?pb=2023-03-sephora-value-2023&amp;imwidth=175,SEPHORA COLLECTION - About That Shine Lacquer Shine Lipstick,16.0
/product/almost-lipstick-P122751?skuId=70680&amp;icid2=products grid:p122751:product,https://www.sephora.com/productimages/sku/s70680-main-zoom.jpg?imwidth=175,CLINIQUE - Almost Lipstick,25.0
/product/makeup-by-mario-supersatin-lipstick-P509305?skuId=2731636&amp;icid2=products grid:p509305:product,https://www.sephora.com/productimages/sku/s2731636-main-zoom.jpg?imwidth=175,MAKEUP BY MARIO - SuperSatin® Lipstick,28.0
/product/merit-signature-lip-lightweight-matte-lipstick-P510442?skuId=2759793&amp;icid2=products grid:p510442:product,https://www.sephora.com/productimages/sku/s2759793-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,MERIT - Signature Lip Lightweight Matte Lipstick,26.0
/product/glossier-ultralip-high-shine-lipstick-with-hyaluronic-acid-P504823?skuId=2636728&amp;icid2=products grid:p504823:product,https://www.sephora.com/productimages/sku/s2636728-main-zoom.jpg?imwidth=175,Glossier - Ultralip High Shine Lipstick with Hyaluronic Acid,22.0
/product/merit-signature-lip-lightweight-lipstick-P481403?skuId=2792802&amp;icid2=products grid:p481403:product,https://www.sephora.com/productimages/sku/s2792802-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,MERIT - Signature Lip Lightweight Satin Lipstick,26.0
/product/rouge-pur-couture-lipstick-collection-P400701?skuId=2695971&amp;icid2=products grid:p400701:product,https://www.sephora.com/productimages/sku/s2695971-main-zoom.jpg?imwidth=175,Yves Saint Laurent - Rouge Pur Couture Caring Satin Lipstick with Ceramides,48.0
/product/vice-lipstick-P409523?skuId=2481943&amp;icid2=products grid:p409523:product,https://www.sephora.com/productimages/sku/s2481943-main-zoom.jpg?imwidth=175,Urban Decay - Vice Hydrating Lipstick,21.0
/product/sephora-collection-about-that-shine-sheer-shine-P511183?skuId=2729986&amp;icid2=products grid:p511183:product,https://www.sephora.com/productimages/sku/s2729986-main-zoom.jpg?pb=2023-03-sephora-value-2023&amp;imwidth=175,SEPHORA COLLECTION - About That Shine Sheer Shine Lipstick,16.0
/product/dior-rouge-dior-lipstick-P467760?skuId=2750966&amp;icid2=products grid:p467760:product,https://www.sephora.com/productimages/sku/s2750966-main-zoom.jpg?imwidth=175,DIOR - Rouge Dior Refillable Lipstick,49.0
/product/nars-explicit-refillable-satin-lipstick-P512469?skuId=2797124&amp;icid2=products grid:p512469:product,https://www.sephora.com/productimages/sku/s2797124-main-zoom.jpg?imwidth=175,NARS - Explicit Refillable Satin Lipstick,24.0
/product/prada-beauty-monochrome-soft-matte-refillable-lipstick-P509660?skuId=2754125&amp;icid2=products grid:p509660:product,https://www.sephora.com/productimages/sku/s2754125-main-zoom.jpg?imwidth=175,Prada Beauty - Prada Monochrome Soft Matte Blur Lipstick,40.0
/product/rare-beauty-by-selena-gomez-lip-souffle-matte-cream-lipstick-P87987897?skuId=2629392&amp;icid2=products grid:p87987897:product,https://www.sephora.com/productimages/sku/s2629392-main-zoom.jpg?imwidth=175,Rare Beauty by Selena Gomez - Lip Soufflé Matte Cream Lipstick,20.0
/product/nars-afterglow-sensual-shine-lipstick-P505364?skuId=2740322&amp;icid2=products grid:p505364:product,https://www.sephora.com/productimages/sku/s2740322-main-zoom.jpg?imwidth=175,NARS - Afterglow Sensual Shine Hydrating Lipstick,32.0
/product/dior-rouge-dior-forever-liquid-transfer-proof-lipstick-P472977?skuId=2571453&amp;icid2=products grid:p472977:product,https://www.sephora.com/productimages/sku/s2571453-main-zoom.jpg?imwidth=175,DIOR - Rouge Dior Forever Liquid Transfer-Proof Lipstick,47.0
/product/make-up-for-ever-rouge-artist-forever-lipstick-P512254?skuId=2797504&amp;icid2=products grid:p512254:product,https://www.sephora.com/productimages/sku/s2797504-main-zoom.jpg?imwidth=175,MAKE UP FOR EVER - Rouge Artist For Ever Satin &amp; Matte Lipstick,28.0
/product/westman-atelier-lip-suede-hydrating-matte-lipstick-P510431?skuId=2845725&amp;icid2=products grid:p510431:product,https://www.sephora.com/productimages/sku/s2845725-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,Westman Atelier - Lip Suede Hydrating Matte Lipstick with Hyaluronic Acid,50.0
/product/makeup-by-mario-ultra-suede-lipstick-P477837?skuId=2502433&amp;icid2=products grid:p477837:product,https://www.sephora.com/productimages/sku/s2502433-main-zoom.jpg?imwidth=175,MAKEUP BY MARIO - Ultra Suede® Lipstick,28.0
/product/ilia-lip-sketch-hydrating-crayon-P510654?skuId=2749687&amp;icid2=products grid:p510654:product,https://www.sephora.com/productimages/sku/s2749687-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,ILIA - Lip Sketch Hydrating Lipstick + Lip Liner Crayon,26.0
/product/nars-powermatte-lipstick-P501583?skuId=2756088&amp;icid2=products grid:p501583:product,https://www.sephora.com/productimages/sku/s2756088-main-zoom.jpg?imwidth=175,NARS - Powermatte Long-Lasting Lipstick,34.0
/product/kosas-wet-stick-moisture-lip-shine-P505694?skuId=2681799&amp;icid2=products grid:p505694:product,https://www.sephora.com/productimages/sku/s2681799-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,Kosas - Wet Stick Moisturizing Shiny Sheer Lipstick with Ceramides,24.0
/product/powermatte-high-intensity-long-lasting-lip-pencil-P507545?skuId=2756104&amp;icid2=products grid:p507545:product,https://www.sephora.com/productimages/sku/s2756104-main-zoom.jpg?imwidth=175,NARS - Powermatte High-Intensity Long-Lasting Lip Pencil,30.0
/product/stunna-lip-paint-P39787544?skuId=1925114&amp;icid2=products grid:p39787544:product,https://www.sephora.com/productimages/sku/s1925114-main-zoom.jpg?imwidth=175,Fenty Beauty by Rihanna - Stunna Lip Paint Longwear Fluid Lip Color,29.0
/product/weightless-lip-color-P441883?skuId=2686343&amp;icid2=products grid:p441883:product,https://www.sephora.com/productimages/sku/s2686343-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,Kosas - Weightless Lip Color Nourishing Satin Lipstick,26.0
/product/lawless-forget-filler-lip-plumping-line-smoothing-tinted-lip-balm-P504609?skuId=2787851&amp;icid2=products grid:p504609:product,https://www.sephora.com/productimages/sku/s2787851-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,LAWLESS - Forget the Filler Lip-Plumping Line-Smoothing Tinted Lip Balm,26.0
/product/giorgio-armani-beauty-lip-power-lipstick-P471221?skuId=2644599&amp;icid2=products grid:p471221:product,https://www.sephora.com/productimages/sku/s2644599-main-zoom.jpg?imwidth=175,Armani Beauty - Lip Power Long Lasting Lipstick,45.0
/product/valentino-spike-buttery-matte-lipstick-P512637?skuId=2788883&amp;icid2=products grid:p512637:product,https://www.sephora.com/productimages/sku/s2788883-main-zoom.jpg?imwidth=175,Valentino - Spike Valentino Buttery Matte Lipstick,48.0
/product/mattetrance-lipstick-P421813?skuId=2012706&amp;icid2=products grid:p421813:product,https://www.sephora.com/productimages/sku/s2012706-main-zoom.jpg?imwidth=175,PAT McGRATH LABS - MatteTrance™ Lipstick,39.0
/product/crushed-lip-color-P422224?skuId=2417459&amp;icid2=products grid:p422224:product,https://www.sephora.com/productimages/sku/s2417459-main-zoom.jpg?imwidth=175,Bobbi Brown - Crushed Lip Color Moisturizing Lipstick,33.0
/product/heirloom-satin-lipstick-P507664?skuId=2699080&amp;icid2=products grid:p507664:product,https://www.sephora.com/productimages/sku/s2699080-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,Kulfi - Heirloom Satin Lipstick,30.0
/product/tom-ford-lip-color-lipstick-P513666?skuId=2806420&amp;icid2=products grid:p513666:product,https://www.sephora.com/productimages/sku/s2806420-main-zoom.jpg?imwidth=175,TOM FORD - Lip Color Lipstick,62.0
